alacritty 0.12.0-1
alsa-utils 1.2.8-1
amd-ucode 20230404.2e92a49f-1
arandr 0.1.11-1
base 3-1
base-devel 1-1
bluetooth-autoconnect 1.3-1
bluez-utils 5.66-1
chromium 112.0.5615.165-1
cmus 2.10.0-4
dmenu 5.2-1
dzen2 0.9.5.14.488ab66-2
fceux 2.6.5-2
fdupes 1:2.2.1-2
feh 3.10-1
firefox 112.0.2-2
gwenview 23.04.0-1
htop 3.2.2-1
inotify-tools 3.22.6.0-2
lxappearance-gtk3 0.6.3-4
maim 5.7.4-5
man-db 2.11.2-1
mpv 1:0.35.1-6
mupdf-gl 1.22.0-1
ncurses5-compat-libs 6.4-2
neovim 0.9.0-2
netctl 1.28-2
obfs4proxy 0.0.14-1
obsidian 1.1.16-1
pacman-contrib 1.9.0-1
paru 1.11.1-1
pavucontrol 1:5.0+r61+gee77d86-2
powertop 2.15-1
ranger 1.9.3-8
redshift 1.12-6
reflector 2021.11-6
simple-mtpfs 0.4.0-1
slock 1.5-1
syncthing 1.23.4-1
typora 1.5.10-1
unclutter 1:1.6-3
unrar 1:6.2.6-1
unzip 6.0-19
wget 1.21.3-1
xmobar 0.46-29
xmonad-contrib 0.17.1-91
xorg-xinit 1.4.2-1
yarn 1.22.19-1
zip 3.0-10
zsh 5.9-3
